Vendedor,Mês,QuantidadeVendida,ValorVendido,TipoPagamento,Parcelas
Emilly Almeida,Fevereiro,2,3017.89,Cartão de Crédito,2
Vicente Cavalcanti,Dezembro,7,9700.1,Dinheiro,
Sra. Elisa das Neves,Outubro,28,4490.84,Cartão de Crédito,2
Sarah Viana,Setembro,39,5866.32,Cartão de Crédito,12
Emilly Almeida,Dezembro,35,31398.07,PIX,
Clarice Porto,Maio,1,1541.73,Cartão de Crédito,12
Enzo Santos,Junho,18,7117.4,PIX,
Sra. Elisa das Neves,Fevereiro,25,7094.03,PIX,
Clarice Porto,Maio,3,4459.47,Dinheiro,
Sra. Elisa das Neves,Julho,6,6893.26,Dinheiro,
Clarice Porto,Junho,37,17217.89,Cartão de Crédito,1
Emilly Almeida,Abril,50,32491.86,Cartão de Crédito,2
Sr. Bryan Nascimento,Fevereiro,25,15703.75,Dinheiro,
Sr. Bryan Nascimento,Junho,11,8836.78,Cartão de Crédito,12
Nicolas Pereira,Dezembro,44,58575.76,Dinheiro,
Emilly Almeida,Março,35,51986.93,Cartão de Crédito,4
Enzo Santos,Maio,41,57707.82,Cartão de Crédito,12
Antônio Carvalho,Janeiro,15,24921.37,PIX,
Enzo Santos,Maio,5,2504.34,Dinheiro,
João Gabriel Monteiro,Dezembro,21,10583.8,PIX,
Enzo Santos,Novembro,30,11143.68,Cartão de Crédito,2
Samuel Pereira,Setembro,35,20972.32,Dinheiro,
Enzo Santos,Outubro,26,20482.62,Cartão de Crédito,6
Alice da Paz,Fevereiro,49,9286.53,Cartão de Crédito,2
Emilly Almeida,Março,44,39692.57,Cartão de Crédito,4
Enzo Santos,Outubro,30,33159.52,Dinheiro,
Sr. Bryan Nascimento,Janeiro,44,64652.34,Dinheiro,
João Gabriel Monteiro,Setembro,49,29741.43,Dinheiro,
Antônio Carvalho,Fevereiro,19,17595.03,PIX,
Ana Sophia Araújo,Dezembro,47,28220.64,Dinheiro,
Dr. Davi Lucas da Rosa,Março,33,60521.77,Dinheiro,
Nicolas Pereira,Novembro,33,41482.43,Cartão de Crédito,3
Dr. Davi Lucas da Rosa,Março,35,66907.73,Dinheiro,
João Gabriel Monteiro,Janeiro,39,27919.96,Cartão de Crédito,1
João Gabriel Monteiro,Junho,20,11099.19,Cartão de Crédito,6
Sra. Elisa das Neves,Fevereiro,47,48098.95,Cartão de Crédito,6
Dr. Davi Lucas da Rosa,Março,9,12181.74,Dinheiro,
Vicente Cavalcanti,Maio,34,59759.17,PIX,
Sarah Viana,Setembro,49,72856.58,Cartão de Crédito,12
Nicolas Pereira,Julho,43,57395.04,PIX,
João Gabriel Monteiro,Setembro,29,9567.33,Cartão de Crédito,1
Antônio Carvalho,Janeiro,38,43793.13,Dinheiro,
Sarah Viana,Janeiro,5,7224.49,Cartão de Crédito,2
Sra. Elisa das Neves,Janeiro,22,5161.84,Cartão de Crédito,3
Emilly Almeida,Agosto,14,15743.62,Dinheiro,
João Gabriel Monteiro,Outubro,37,36928.77,PIX,
Dr. Davi Lucas da Rosa,Julho,13,3629.85,Dinheiro,
Enzo Santos,Junho,28,24670.64,Dinheiro,
Ana Sophia Araújo,Novembro,42,82736.38,Cartão de Crédito,1
Enzo Santos,Dezembro,22,35664.77,Cartão de Crédito,2
Sarah Viana,Abril,35,33332.8,PIX,
Vicente Cavalcanti,Maio,30,17238.97,Cartão de Crédito,4
Dr. Davi Lucas da Rosa,Setembro,7,1372.82,Dinheiro,
Sr. Bryan Nascimento,Janeiro,6,11160.58,Cartão de Crédito,2
Enzo Santos,Agosto,31,15689.72,PIX,
João Gabriel Monteiro,Janeiro,11,9020.54,PIX,
Nicolas Pereira,Agosto,19,17170.57,Dinheiro,
Dr. Davi Lucas da Rosa,Setembro,43,62993.96,Cartão de Crédito,2
Nicolas Pereira,Abril,4,4801.77,Dinheiro,
Ana Sophia Araújo,Dezembro,21,4380.89,Dinheiro,
Alice da Paz,Setembro,34,13570.15,Dinheiro,
Sra. Elisa das Neves,Março,5,6152.83,Dinheiro,
Sr. Bryan Nascimento,Abril,26,8522.4,Dinheiro,
Sarah Viana,Outubro,39,6844.86,Cartão de Crédito,4
Emilly Almeida,Outubro,37,40451.62,PIX,
Sarah Viana,Novembro,46,32059.67,PIX,
Enzo Santos,Março,43,57037.41,PIX,
Antônio Carvalho,Fevereiro,1,970.74,Dinheiro,
Sra. Elisa das Neves,Fevereiro,35,17674.76,PIX,
Vicente Cavalcanti,Junho,5,8853.07,PIX,
Nicolas Pereira,Março,29,48839.35,Dinheiro,
Nicolas Pereira,Outubro,42,46409.47,Dinheiro,
Sr. Bryan Nascimento,Setembro,20,37406.73,Cartão de Crédito,2
Nicolas Pereira,Fevereiro,7,10574.14,Cartão de Crédito,3
Nicolas Pereira,Outubro,14,20488.48,Cartão de Crédito,12
Emilly Almeida,Maio,33,33930.95,Cartão de Crédito,1
Emilly Almeida,Julho,18,3307.77,PIX,
Dr. Davi Lucas da Rosa,Março,41,80426.26,Cartão de Crédito,12
Alice da Paz,Setembro,46,41979.84,Cartão de Crédito,1
Sra. Elisa das Neves,Dezembro,10,11366.22,PIX,
Clarice Porto,Setembro,10,9165.95,Cartão de Crédito,3
Antônio Carvalho,Janeiro,23,11480.34,Cartão de Crédito,12
Sra. Elisa das Neves,Junho,50,58188.93,PIX,
Clarice Porto,Dezembro,10,18589.51,Cartão de Crédito,2
Dr. Davi Lucas da Rosa,Março,27,3971.54,Dinheiro,
João Gabriel Monteiro,Junho,27,43854.66,Dinheiro,
Dr. Davi Lucas da Rosa,Abril,18,7244.57,Dinheiro,
Sra. Elisa das Neves,Julho,3,5193.98,Cartão de Crédito,2
Sr. Bryan Nascimento,Agosto,23,15636.84,Cartão de Crédito,2
Ana Sophia Araújo,Novembro,13,11142.11,PIX,
Sr. Bryan Nascimento,Fevereiro,50,31516.87,Dinheiro,
Dra. Pietra Viana,Julho,44,86424.11,Dinheiro,
Antônio Carvalho,Janeiro,8,14130.98,PIX,
Vicente Cavalcanti,Outubro,17,2935.71,Dinheiro,
Enzo Santos,Junho,47,74928.04,PIX,
Clarice Porto,Setembro,8,6654.97,Dinheiro,
Sarah Viana,Maio,3,4340.08,Cartão de Crédito,6
João Gabriel Monteiro,Setembro,44,64544.35,Dinheiro,
Samuel Pereira,Novembro,13,10296.27,Cartão de Crédito,12
João Gabriel Monteiro,Junho,40,27857.59,Cartão de Crédito,12
João Gabriel Monteiro,Maio,33,22692.15,PIX,
Antônio Carvalho,Julho,45,29778.52,Cartão de Crédito,2
Enzo Santos,Novembro,25,34672.6,Cartão de Crédito,6
Clarice Porto,Maio,26,29668.1,Cartão de Crédito,3
Nicolas Pereira,Abril,28,44602.37,Dinheiro,
Emilly Almeida,Junho,30,28181.8,Dinheiro,
Sarah Viana,Setembro,31,49851.02,Dinheiro,
Vicente Cavalcanti,Novembro,6,3835.17,Dinheiro,
Emilly Almeida,Outubro,22,6103.58,Cartão de Crédito,12
Nicolas Pereira,Abril,13,4939.64,Cartão de Crédito,2
Alice da Paz,Outubro,50,11918.68,PIX,
João Gabriel Monteiro,Novembro,37,17368.8,Dinheiro,
Enzo Santos,Agosto,26,14652.83,Dinheiro,
Samuel Pereira,Janeiro,49,85007.02,Cartão de Crédito,4
Sarah Viana,Março,45,48785.39,Cartão de Crédito,6
Sarah Viana,Fevereiro,30,10600.33,PIX,
Emilly Almeida,Setembro,36,44328.94,PIX,
Clarice Porto,Dezembro,33,30056.65,Dinheiro,
Alice da Paz,Março,48,83368.34,PIX,
Nicolas Pereira,Abril,41,25702.55,Dinheiro,
Alice da Paz,Novembro,16,9947.76,Cartão de Crédito,12
Nicolas Pereira,Abril,18,13285.99,Dinheiro,
Sra. Elisa das Neves,Março,10,5393.97,Dinheiro,
Vicente Cavalcanti,Dezembro,14,3108.49,PIX,
Antônio Carvalho,Setembro,30,26699.13,Cartão de Crédito,4
Enzo Santos,Outubro,45,6169.98,Dinheiro,
Enzo Santos,Agosto,1,1891.21,PIX,
Dr. Davi Lucas da Rosa,Julho,27,30310.72,Dinheiro,
Dra. Pietra Viana,Outubro,15,15414.54,PIX,
Enzo Santos,Agosto,2,1677.66,Dinheiro,
Emilly Almeida,Julho,47,19438.49,PIX,
João Gabriel Monteiro,Março,40,44593.4,PIX,
Clarice Porto,Outubro,43,6514.24,Dinheiro,
Enzo Santos,Março,30,13358.55,PIX,
Enzo Santos,Junho,14,13495.0,PIX,
Dr. Davi Lucas da Rosa,Julho,18,27518.74,PIX,
Nicolas Pereira,Fevereiro,31,4241.68,Dinheiro,
Ana Sophia Araújo,Junho,15,20029.11,Dinheiro,
Ana Sophia Araújo,Janeiro,16,7660.56,Cartão de Crédito,6
Vicente Cavalcanti,Abril,9,8997.89,Cartão de Crédito,6
Sarah Viana,Agosto,45,26408.84,PIX,
Vicente Cavalcanti,Outubro,39,75312.74,Dinheiro,
Sra. Elisa das Neves,Março,20,6107.75,Cartão de Crédito,3
Clarice Porto,Novembro,25,21341.09,Dinheiro,
Sarah Viana,Fevereiro,38,53662.36,Dinheiro,
Sarah Viana,Fevereiro,45,70547.12,Dinheiro,
Clarice Porto,Fevereiro,37,58719.26,PIX,
Dra. Pietra Viana,Julho,43,34575.64,Dinheiro,
Emilly Almeida,Junho,1,1714.19,PIX,
Sra. Elisa das Neves,Julho,24,31382.68,PIX,
Samuel Pereira,Março,28,12170.49,Dinheiro,
Emilly Almeida,Maio,40,65423.14,Dinheiro,
Dr. Davi Lucas da Rosa,Agosto,30,27827.75,Dinheiro,
Clarice Porto,Maio,21,36083.36,Cartão de Crédito,3
João Gabriel Monteiro,Agosto,16,24414.48,Dinheiro,
Clarice Porto,Novembro,25,18478.84,PIX,
Sr. Bryan Nascimento,Junho,12,12316.14,PIX,
Dr. Davi Lucas da Rosa,Maio,22,13889.72,Dinheiro,
Samuel Pereira,Maio,36,4294.34,Cartão de Crédito,1
Sarah Viana,Dezembro,27,27764.04,Cartão de Crédito,12
Alice da Paz,Novembro,46,47497.78,Cartão de Crédito,1
Nicolas Pereira,Abril,26,36774.29,PIX,
Emilly Almeida,Outubro,24,23980.68,Dinheiro,
Antônio Carvalho,Julho,48,54995.43,PIX,
Samuel Pereira,Agosto,18,12286.51,Cartão de Crédito,1
Samuel Pereira,Abril,21,6870.23,Dinheiro,
Dr. Davi Lucas da Rosa,Dezembro,12,5567.13,Dinheiro,
Alice da Paz,Maio,47,57350.11,Dinheiro,
Clarice Porto,Maio,7,11773.96,PIX,
Sarah Viana,Junho,12,8091.7,Dinheiro,
Dra. Pietra Viana,Março,18,3356.64,Cartão de Crédito,6
Nicolas Pereira,Dezembro,9,11807.57,PIX,
Sra. Elisa das Neves,Janeiro,37,23689.05,PIX,
Alice da Paz,Junho,12,23213.35,PIX,
Sr. Bryan Nascimento,Agosto,8,13296.16,PIX,
Alice da Paz,Fevereiro,37,47950.03,Cartão de Crédito,2
Vicente Cavalcanti,Outubro,20,5236.87,Cartão de Crédito,1
Dra. Pietra Viana,Julho,39,48073.0,Dinheiro,
Sarah Viana,Setembro,25,23899.44,PIX,
Nicolas Pereira,Outubro,28,19046.23,Dinheiro,
Ana Sophia Araújo,Outubro,48,13850.1,Cartão de Crédito,12
Sarah Viana,Maio,43,10933.02,Cartão de Crédito,2
Dra. Pietra Viana,Fevereiro,11,1155.92,PIX,
Samuel Pereira,Outubro,31,20255.17,Cartão de Crédito,3
Samuel Pereira,Maio,45,77996.38,Cartão de Crédito,12
Sarah Viana,Maio,41,50044.61,Cartão de Crédito,4
Sra. Elisa das Neves,Setembro,15,19957.59,PIX,
Sr. Bryan Nascimento,Março,5,1066.56,PIX,
